gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
FEMALE,group B,high school, standard,NONE,87%,95%,86%
MALE,group B,some high school, standard,NONE,72%,68%,67%
MALE,group D,some college, standard,COMPLETED,65%,77%,74%
MALE,group D,master's degree, standard,NONE,82%,82%,74%
FEMALE,group A,bachelor's degree, standard,NONE,51%,49%,51%
MALE,group D,master's degree, standard,NONE,89%,84%,82%
MALE,group C,some high school, free/reduced,COMPLETED,53%,37%,40%
MALE,group E,some college, free/reduced,COMPLETED,87%,74%,70%
FEMALE,group C,some college, standard,COMPLETED,75%,81%,84%
MALE,group D,bachelor's degree, free/reduced,COMPLETED,74%,79%,75%
MALE,group C,bachelor's degree, standard,NONE,58%,55%,48%
MALE,group B,some high school, standard,COMPLETED,51%,54%,41%
MALE,group E,high school, standard,NONE,70%,55%,56%
FEMALE,group C,associate's degree, standard,NONE,59%,66%,67%
MALE,group D,some college, standard,COMPLETED,71%,61%,69%
FEMALE,group D,some high school, standard,NONE,76%,72%,71%
FEMALE,group C,some college, free/reduced,NONE,59%,62%,64%
FEMALE,group E,some college, free/reduced,COMPLETED,42%,55%,54%
MALE,group A,high school, standard,NONE,57%,43%,47%
MALE,group D,some college, standard,NONE,88%,73%,78%
FEMALE,group C,some college, free/reduced,NONE,22%,39%,33%
MALE,group B,some high school, standard,NONE,88%,84%,75%
MALE,group C,associate's degree, free/reduced,NONE,73%,68%,66%
FEMALE,group D,bachelor's degree, standard,COMPLETED,68%,75%,81%
MALE,group E,associate's degree, free/reduced,COMPLETED,100%,100%,93%
MALE,group A,some high school, standard,COMPLETED,62%,67%,69%
MALE,group A,bachelor's degree, standard,NONE,77%,67%,68%
FEMALE,group B,associate's degree, standard,COMPLETED,59%,70%,66%
MALE,group D,bachelor's degree, standard,NONE,54%,49%,47%
MALE,group D,some high school, standard,NONE,62%,67%,61%
FEMALE,group C,some college, standard,COMPLETED,70%,89%,88%
FEMALE,group E,high school, free/reduced,COMPLETED,66%,74%,78%
MALE,group B,some college, free/reduced,NONE,60%,60%,60%
FEMALE,group B,associate's degree, standard,COMPLETED,61%,86%,87%
MALE,group D,associate's degree, free/reduced,NONE,66%,62%,64%
MALE,group B,associate's degree, free/reduced,COMPLETED,82%,78%,74%
FEMALE,group E,some college, free/reduced,COMPLETED,75%,88%,85%
MALE,group B,master's degree, free/reduced,NONE,49%,53%,52%
MALE,group C,high school, standard,NONE,52%,53%,49%
FEMALE,group E,master's degree, standard,NONE,81%,92%,91%
FEMALE,group C,bachelor's degree, standard,COMPLETED,96%,100%,100%
MALE,group C,high school, free/reduced,COMPLETED,53%,51%,51%
FEMALE,group B,master's degree, free/reduced,COMPLETED,58%,76%,78%
FEMALE,group B,high school, standard,COMPLETED,68%,83%,78%
FEMALE,group C,some college, free/reduced,COMPLETED,67%,75%,70%
MALE,group A,high school, standard,COMPLETED,72%,73%,74%
MALE,group E,some high school, standard,NONE,94%,88%,78%
FEMALE,group D,some college, standard,NONE,79%,86%,81%
FEMALE,group C,associate's degree, standard,NONE,63%,67%,70%
FEMALE,group C,bachelor's degree, free/reduced,COMPLETED,43%,51%,54%
FEMALE,group C,master's degree, standard,COMPLETED,81%,91%,87%
FEMALE,group B,high school, free/reduced,COMPLETED,46%,54%,58%
FEMALE,group C,associate's degree, standard,COMPLETED,71%,77%,77%
FEMALE,group B,master's degree, free/reduced,COMPLETED,52%,70%,62%
FEMALE,group D,some high school, standard,COMPLETED,97%,100%,100%
MALE,group C,master's degree, free/reduced,COMPLETED,62%,68%,75%
FEMALE,group C,some college, free/reduced,NONE,46%,64%,66%
FEMALE,group E,high school, standard,NONE,50%,50%,47%
FEMALE,group D,associate's degree, standard,NONE,65%,69%,70%
MALE,group C,some high school, free/reduced,COMPLETED,45%,52%,49%
MALE,group C,associate's degree, free/reduced,COMPLETED,65%,67%,65%
MALE,group E,high school, standard,NONE,80%,76%,65%
MALE,group D,some high school, standard,COMPLETED,62%,66%,68%
MALE,group B,some high school, free/reduced,NONE,48%,52%,45%
FEMALE,group C,bachelor's degree, standard,NONE,77%,88%,87%
FEMALE,group E,associate's degree, standard,NONE,66%,65%,69%
MALE,group D,some college, standard,COMPLETED,76%,83%,79%
FEMALE,group B,some high school, standard,NONE,62%,64%,66%
MALE,group D,some college, standard,COMPLETED,77%,62%,62%
FEMALE,group C,master's degree, standard,COMPLETED,69%,84%,85%
MALE,group D,associate's degree, standard,NONE,61%,55%,52%
MALE,group C,some high school, free/reduced,COMPLETED,59%,69%,65%
MALE,group E,high school, free/reduced,NONE,55%,56%,51%
FEMALE,group B,some college, free/reduced,NONE,45%,53%,55%
FEMALE,group B,bachelor's degree, free/reduced,NONE,78%,79%,76%
FEMALE,group C,associate's degree, standard,COMPLETED,67%,84%,86%
FEMALE,group D,some college, free/reduced,NONE,65%,81%,77%
MALE,group C,associate's degree, standard,NONE,69%,77%,69%
FEMALE,group B,associate's degree, standard,NONE,57%,69%,68%
MALE,group C,some college, standard,NONE,59%,41%,42%
MALE,group D,some high school, standard,COMPLETED,74%,71%,78%
MALE,group E,bachelor's degree, standard,NONE,82%,62%,62%
MALE,group E,high school, standard,COMPLETED,81%,80%,76%
FEMALE,group B,some college, free/reduced,NONE,74%,81%,76%
FEMALE,group B,some college, free/reduced,NONE,58%,61%,66%
MALE,group D,some high school, free/reduced,COMPLETED,80%,79%,79%
MALE,group C,some college, free/reduced,NONE,35%,28%,27%
FEMALE,group C,high school, free/reduced,NONE,42%,62%,60%
MALE,group C,associate's degree, free/reduced,COMPLETED,60%,51%,56%
MALE,group E,high school, standard,COMPLETED,87%,91%,81%
MALE,group B,some high school, standard,COMPLETED,84%,83%,75%
FEMALE,group E,associate's degree, free/reduced,COMPLETED,83%,86%,88%
FEMALE,group C,high school, free/reduced,NONE,34%,42%,39%
MALE,group B,high school, free/reduced,NONE,66%,77%,70%
MALE,group B,some high school, standard,COMPLETED,61%,56%,56%
FEMALE,group D,high school, standard,COMPLETED,56%,68%,74%
MALE,group B,associate's degree, standard,NONE,87%,85%,73%
FEMALE,group C,some high school, free/reduced,NONE,55%,65%,62%
MALE,group D,some high school, standard,NONE,86%,80%,75%
FEMALE,group B,associate's degree, standard,COMPLETED,52%,66%,73%
FEMALE,group E,master's degree, free/reduced,NONE,45%,56%,54%
FEMALE,group C,some college, standard,NONE,72%,72%,71%
MALE,group D,high school, standard,NONE,57%,50%,54%
MALE,group A,some high school, free/reduced,NONE,68%,72%,64%
FEMALE,group C,some college, standard,COMPLETED,88%,95%,94%
MALE,group D,some college, standard,NONE,76%,64%,66%
MALE,group C,associate's degree, standard,NONE,46%,43%,42%
FEMALE,group B,bachelor's degree, standard,NONE,67%,86%,83%
MALE,group E,some high school, standard,NONE,92%,87%,78%
MALE,group C,bachelor's degree, standard,COMPLETED,83%,82%,84%
MALE,group D,associate's degree, standard,NONE,80%,75%,77%
MALE,group D,bachelor's degree, free/reduced,NONE,63%,66%,67%
FEMALE,group D,some high school, standard,COMPLETED,64%,60%,74%
MALE,group B,some college, standard,NONE,54%,52%,51%
MALE,group C,associate's degree, standard,NONE,84%,80%,80%
MALE,group D,high school, free/reduced,COMPLETED,73%,68%,66%
FEMALE,group E,bachelor's degree, standard,NONE,80%,83%,83%
FEMALE,group D,high school, standard,NONE,56%,52%,55%
MALE,group E,some college, standard,NONE,59%,51%,43%
MALE,group D,some high school, standard,NONE,75%,74%,69%
MALE,group C,associate's degree, standard,NONE,85%,76%,71%
MALE,group E,associate's degree, standard,NONE,89%,76%,74%
FEMALE,group B,high school, standard,COMPLETED,58%,70%,68%
FEMALE,group B,high school, standard,NONE,65%,64%,62%
MALE,group C,high school, standard,NONE,68%,60%,53%
MALE,group A,some high school, standard,COMPLETED,47%,49%,49%
FEMALE,group D,some college, free/reduced,NONE,71%,83%,83%
FEMALE,group B,some high school, standard,COMPLETED,60%,70%,70%
MALE,group D,master's degree, standard,NONE,80%,80%,72%
MALE,group D,high school, standard,NONE,54%,52%,52%
FEMALE,group E,some college, standard,NONE,62%,73%,70%
FEMALE,group C,associate's degree, free/reduced,NONE,64%,73%,68%
MALE,group C,associate's degree, standard,COMPLETED,78%,77%,77%
FEMALE,group B,some college, standard,NONE,70%,75%,78%
FEMALE,group C,master's degree, free/reduced,COMPLETED,65%,81%,81%
FEMALE,group C,some high school, free/reduced,COMPLETED,64%,79%,77%
MALE,group C,some college, standard,COMPLETED,79%,79%,78%
FEMALE,group C,some high school, free/reduced,NONE,44%,50%,51%
FEMALE,group E,high school, standard,NONE,99%,93%,90%
MALE,group D,high school, standard,NONE,76%,73%,68%
MALE,group D,some high school, free/reduced,NONE,59%,42%,41%
FEMALE,group C,bachelor's degree, standard,NONE,63%,75%,81%
FEMALE,group D,high school, standard,NONE,69%,72%,77%
FEMALE,group D,associate's degree, standard,COMPLETED,88%,92%,95%
FEMALE,group E,some college, free/reduced,NONE,71%,76%,70%
MALE,group C,bachelor's degree, standard,NONE,69%,63%,61%
MALE,group C,some college, standard,NONE,58%,49%,42%
FEMALE,group D,associate's degree, free/reduced,NONE,47%,53%,58%
FEMALE,group D,some college, standard,NONE,65%,70%,71%
MALE,group B,some college, standard,COMPLETED,88%,85%,76%
MALE,group C,bachelor's degree, standard,NONE,83%,78%,73%
FEMALE,group C,some high school, standard,COMPLETED,85%,92%,93%
FEMALE,group E,high school, standard,COMPLETED,59%,63%,75%
FEMALE,group C,some high school, free/reduced,NONE,65%,86%,80%
MALE,group B,bachelor's degree, free/reduced,NONE,73%,56%,57%
MALE,group D,high school, standard,NONE,53%,52%,42%
MALE,group D,high school, standard,NONE,45%,48%,46%
FEMALE,group D,bachelor's degree, free/reduced,NONE,73%,79%,84%
FEMALE,group D,some college, free/reduced,COMPLETED,70%,78%,78%
FEMALE,group B,some high school, standard,NONE,37%,46%,46%
MALE,group B,associate's degree, standard,COMPLETED,81%,82%,82%
MALE,group E,associate's degree, standard,COMPLETED,97%,82%,88%
FEMALE,group B,some high school, standard,NONE,67%,89%,82%
MALE,group B,bachelor's degree, free/reduced,NONE,88%,75%,76%
MALE,group E,some high school, standard,COMPLETED,77%,76%,77%
MALE,group C,associate's degree, standard,NONE,76%,70%,68%
MALE,group D,some high school, standard,NONE,86%,73%,70%
MALE,group C,some high school, standard,COMPLETED,63%,60%,57%
FEMALE,group E,bachelor's degree, standard,NONE,65%,73%,75%
MALE,group D,high school, free/reduced,COMPLETED,78%,77%,80%
MALE,group B,associate's degree, free/reduced,NONE,67%,62%,60%
MALE,group A,some high school, standard,COMPLETED,46%,41%,43%
MALE,group E,associate's degree, standard,COMPLETED,71%,74%,68%
MALE,group C,high school, free/reduced,COMPLETED,40%,46%,50%
MALE,group D,associate's degree, free/reduced,NONE,90%,87%,75%
MALE,group A,some college, free/reduced,COMPLETED,81%,78%,81%
MALE,group D,some high school, free/reduced,NONE,56%,54%,52%
FEMALE,group C,associate's degree, standard,COMPLETED,67%,84%,81%
MALE,group B,associate's degree, standard,NONE,80%,76%,64%
FEMALE,group C,associate's degree, standard,COMPLETED,74%,75%,83%
MALE,group A,some college, standard,NONE,69%,67%,69%
MALE,group E,some college, standard,COMPLETED,99%,87%,81%
MALE,group C,some high school, standard,NONE,51%,52%,44%
FEMALE,group B,associate's degree, free/reduced,NONE,53%,71%,67%
FEMALE,group D,high school, free/reduced,NONE,49%,57%,52%
FEMALE,group B,associate's degree, standard,NONE,73%,76%,80%
MALE,group B,bachelor's degree, standard,NONE,66%,60%,57%
MALE,group D,bachelor's degree, standard,COMPLETED,67%,61%,68%
FEMALE,group C,associate's degree, free/reduced,COMPLETED,68%,67%,69%
FEMALE,group C,bachelor's degree, standard,COMPLETED,59%,64%,75%
MALE,group C,high school, standard,NONE,71%,66%,65%
FEMALE,group D,master's degree, standard,COMPLETED,77%,82%,91%
MALE,group C,associate's degree, standard,NONE,83%,72%,78%
MALE,group B,bachelor's degree, standard,NONE,63%,71%,69%
FEMALE,group D,associate's degree, free/reduced,NONE,56%,65%,63%
FEMALE,group C,high school, free/reduced,COMPLETED,67%,79%,84%
FEMALE,group E,high school, standard,NONE,75%,86%,79%
FEMALE,group C,some college, standard,NONE,71%,81%,80%
FEMALE,group C,some high school, free/reduced,NONE,43%,53%,53%
FEMALE,group C,high school, free/reduced,NONE,41%,46%,43%
FEMALE,group C,some college, standard,NONE,82%,90%,94%
MALE,group C,some college, standard,NONE,61%,61%,62%
MALE,group A,some college, free/reduced,NONE,28%,23%,19%
MALE,group C,associate's degree, standard,COMPLETED,82%,75%,77%
FEMALE,group B,some high school, standard,NONE,41%,55%,51%
MALE,group C,high school, standard,NONE,71%,60%,61%
MALE,group C,associate's degree, standard,NONE,47%,37%,35%
MALE,group E,associate's degree, standard,COMPLETED,62%,56%,53%
MALE,group B,associate's degree, standard,NONE,90%,78%,81%
FEMALE,group C,bachelor's degree, standard,NONE,83%,93%,95%
FEMALE,group B,some college, free/reduced,NONE,61%,68%,66%
MALE,group D,some high school, standard,COMPLETED,76%,70%,69%
MALE,group C,associate's degree, standard,NONE,49%,51%,43%
FEMALE,group B,some high school, free/reduced,NONE,24%,38%,27%
FEMALE,group D,some high school, free/reduced,COMPLETED,35%,55%,60%
MALE,group C,high school, free/reduced,NONE,58%,61%,52%
FEMALE,group C,high school, standard,NONE,61%,73%,63%
FEMALE,group B,high school, standard,COMPLETED,69%,76%,74%
MALE,group D,associate's degree, standard,COMPLETED,67%,72%,67%
MALE,group D,some college, standard,NONE,79%,73%,67%
FEMALE,group C,high school, standard,NONE,72%,80%,75%
MALE,group B,some college, standard,NONE,62%,61%,57%
FEMALE,group C,bachelor's degree, standard,COMPLETED,77%,94%,95%
MALE,group D,high school, free/reduced,NONE,75%,74%,66%
MALE,group E,associate's degree, standard,NONE,87%,74%,76%
FEMALE,group B,bachelor's degree, standard,NONE,52%,65%,69%
MALE,group E,some college, standard,NONE,66%,57%,52%
FEMALE,group C,some college, standard,COMPLETED,63%,78%,80%
FEMALE,group C,associate's degree, standard,NONE,46%,58%,57%
FEMALE,group C,some college, standard,NONE,59%,71%,70%
FEMALE,group B,bachelor's degree, standard,NONE,61%,72%,70%
MALE,group A,associate's degree, standard,NONE,63%,61%,61%
FEMALE,group C,some college, free/reduced,COMPLETED,42%,66%,69%
MALE,group D,some college, free/reduced,NONE,59%,62%,61%
FEMALE,group D,some college, standard,NONE,80%,90%,89%
FEMALE,group B,high school, standard,NONE,58%,62%,59%
MALE,group B,some high school, standard,COMPLETED,85%,84%,78%
FEMALE,group C,some college, standard,NONE,52%,58%,58%
FEMALE,group D,some high school, free/reduced,NONE,27%,34%,32%
MALE,group C,some college, standard,NONE,59%,60%,58%
MALE,group A,bachelor's degree, free/reduced,COMPLETED,49%,58%,60%
MALE,group C,high school, standard,COMPLETED,69%,58%,53%
MALE,group C,bachelor's degree, free/reduced,NONE,61%,66%,61%
FEMALE,group A,some high school, free/reduced,NONE,44%,64%,58%
FEMALE,group D,some high school, standard,NONE,73%,84%,85%
MALE,group E,some college, standard,NONE,84%,77%,71%
FEMALE,group C,some college, free/reduced,COMPLETED,45%,73%,70%
MALE,group D,some high school, standard,NONE,74%,74%,72%
FEMALE,group D,some college, standard,COMPLETED,82%,97%,96%
FEMALE,group D,bachelor's degree, standard,NONE,59%,70%,73%
MALE,group E,associate's degree, free/reduced,NONE,46%,43%,41%
FEMALE,group D,some high school, standard,NONE,80%,90%,82%
FEMALE,group D,master's degree, free/reduced,COMPLETED,85%,95%,100%
FEMALE,group A,some high school, standard,NONE,71%,83%,77%
MALE,group A,bachelor's degree, standard,NONE,66%,64%,62%
FEMALE,group B,associate's degree, standard,NONE,80%,86%,83%
MALE,group C,associate's degree, standard,COMPLETED,87%,100%,95%
MALE,group C,master's degree, free/reduced,NONE,79%,81%,71%
FEMALE,group E,some high school, free/reduced,NONE,38%,49%,45%
FEMALE,group A,some high school, free/reduced,NONE,38%,43%,43%
FEMALE,group E,some college, standard,NONE,67%,76%,75%
FEMALE,group E,bachelor's degree, standard,NONE,64%,73%,70%
FEMALE,group C,associate's degree, free/reduced,NONE,57%,78%,67%
FEMALE,group D,high school, standard,NONE,62%,64%,64%
MALE,group D,master's degree, standard,NONE,73%,70%,75%
MALE,group E,some high school, free/reduced,COMPLETED,73%,67%,59%
FEMALE,group D,some college, standard,NONE,77%,68%,77%
MALE,group E,some college, standard,NONE,76%,67%,67%
MALE,group C,associate's degree, standard,COMPLETED,57%,54%,56%
FEMALE,group C,some high school, standard,COMPLETED,65%,74%,77%
MALE,group A,high school, free/reduced,NONE,48%,45%,41%
FEMALE,group B,high school, free/reduced,NONE,50%,67%,63%
FEMALE,group C,associate's degree, standard,NONE,85%,89%,95%
MALE,group B,some high school, standard,NONE,74%,63%,57%
MALE,group D,some high school, standard,NONE,60%,59%,54%
FEMALE,group C,some high school, standard,COMPLETED,59%,54%,67%
MALE,group A,some college, standard,NONE,53%,43%,43%
FEMALE,group A,some college, free/reduced,NONE,49%,65%,55%
FEMALE,group D,high school, standard,COMPLETED,88%,99%,100%
FEMALE,group C,high school, standard,NONE,54%,59%,62%
FEMALE,group C,some high school, standard,NONE,63%,73%,68%
MALE,group B,associate's degree, standard,COMPLETED,65%,65%,63%
FEMALE,group B,associate's degree, standard,NONE,82%,80%,77%
FEMALE,group D,high school, free/reduced,COMPLETED,52%,57%,56%
MALE,group D,associate's degree, standard,COMPLETED,87%,84%,85%
FEMALE,group D,master's degree, standard,COMPLETED,70%,71%,74%
MALE,group E,some college, standard,COMPLETED,84%,83%,78%
MALE,group D,associate's degree, standard,NONE,71%,66%,60%
MALE,group B,some high school, standard,COMPLETED,63%,67%,67%
FEMALE,group C,bachelor's degree, free/reduced,COMPLETED,51%,72%,79%
MALE,group E,high school, standard,NONE,84%,73%,69%
MALE,group C,bachelor's degree, standard,COMPLETED,71%,74%,68%
MALE,group C,associate's degree, standard,NONE,74%,73%,67%
MALE,group D,some college, standard,NONE,68%,59%,62%
MALE,group E,high school, free/reduced,COMPLETED,57%,56%,54%
FEMALE,group C,associate's degree, free/reduced,COMPLETED,82%,93%,93%
FEMALE,group D,high school, standard,COMPLETED,57%,58%,64%
FEMALE,group D,master's degree, free/reduced,COMPLETED,47%,58%,67%
FEMALE,group A,some high school, standard,COMPLETED,59%,85%,80%
MALE,group B,some college, free/reduced,NONE,41%,39%,34%
FEMALE,group C,some college, free/reduced,NONE,62%,67%,62%
MALE,group C,bachelor's degree, standard,NONE,86%,83%,86%
MALE,group C,some high school, free/reduced,NONE,69%,71%,65%
MALE,group A,some high school, free/reduced,NONE,65%,59%,53%
MALE,group C,some high school, free/reduced,NONE,68%,63%,54%
MALE,group C,associate's degree, free/reduced,NONE,64%,66%,59%
FEMALE,group C,high school, standard,NONE,61%,72%,70%
MALE,group C,high school, standard,NONE,61%,56%,55%
FEMALE,group A,some high school, free/reduced,NONE,47%,59%,50%
MALE,group C,some high school, standard,NONE,73%,66%,66%
MALE,group C,some college, free/reduced,COMPLETED,50%,48%,53%
MALE,group D,associate's degree, standard,NONE,75%,68%,64%
MALE,group D,associate's degree, free/reduced,NONE,75%,66%,73%
MALE,group C,high school, standard,NONE,70%,56%,51%
MALE,group D,some high school, standard,COMPLETED,89%,88%,82%
FEMALE,group C,some college, standard,COMPLETED,67%,81%,79%
FEMALE,group D,high school, standard,NONE,78%,81%,80%
FEMALE,group A,some high school, free/reduced,NONE,59%,73%,69%
FEMALE,group B,associate's degree, standard,NONE,73%,83%,76%
MALE,group A,some high school, free/reduced,NONE,79%,82%,73%
FEMALE,group C,some high school, standard,COMPLETED,67%,74%,77%
MALE,group D,some college, free/reduced,NONE,69%,66%,60%
MALE,group C,high school, standard,COMPLETED,86%,81%,80%
MALE,group B,high school, standard,NONE,47%,46%,42%
MALE,group B,associate's degree, standard,NONE,81%,73%,72%
FEMALE,group C,some college, free/reduced,COMPLETED,64%,85%,85%
FEMALE,group E,some college, standard,NONE,100%,92%,97%
FEMALE,group C,associate's degree, free/reduced,NONE,65%,77%,74%
MALE,group C,some college, free/reduced,NONE,65%,58%,49%
